,high,low,open,volumefrom,volumeto,close,market_cap,progression daily,progression tomorrow,target,ema_26,ema_12,macd,rsi,relative_volume,obv,atr,bollinger_upper,bollinger_lower,k,momentum,difficulty
2011-02-15,1.085,1.035,1.07,8616.58,9085.5,1.05,,0.01904761904761898,-0.01869158878504673,0,0.7672057900428323,0.9425759668582118,0.17537017681537947,78.93155258764607,0.6903031609466754,81727.83000000002,0.14207142857142863,1.281199549235977,0.2840304507640232,93.33185152256056,0.259,
2011-02-16,1.05,1.02,1.05,7192.38,7465.03,1.045,,-0.01869158878504673,-0.004761904761904856,0,0.7881535092989187,0.9591027411877177,0.17094923188879896,72.49310027598897,0.5570872476359868,74262.80000000002,0.13065000000000007,1.2951790607109275,0.33335093928907245,88.88641920426761,0.13,
2011-02-17,1.05,1.02,1.045,4009.84,4184.96,1.04,,-0.004761904761904856,-0.004784688995215225,0,0.8071791752767765,0.972317704081915,0.16513852880513846,71.71330517423442,0.3154678674410627,70077.84000000001,0.1256571428571429,1.2991774538833125,0.39173254611668734,87.20930232558136,0.14529999999999987,
2011-02-18,1.04,0.7801,1.04,36948.16,32719.75,0.8989,,-0.004784688995215225,-0.13567307692307695,0,0.8244251622933115,0.9827303649923896,0.1583052026990781,73.12247644683714,2.4831173508500113,37358.09000000001,0.1295785714285715,1.2953043392392256,0.4550056607607745,81.24413879337293,0.15000000000000002,
2011-02-19,0.98,0.8376,0.8989,3798.71,3454.72,0.949,,-0.13567307692307695,0.05573478696184209,1,0.8299418169382514,0.9698333857627912,0.1398915688245398,55.71150097465886,0.27749248552326516,33903.37000000001,0.12806428571428577,1.2647139055364087,0.5315860944635913,37.136605189121596,-0.019100000000000006,
2011-02-20,0.949,0.83,0.949,9974.05,8503.38,0.865,,0.05573478696184209,-0.08851422550052679,0,0.8387609416094921,0.9666282494915925,0.12786730788210043,52.040529130312414,0.6795267647387706,42406.75000000001,0.1287785714285715,1.2310707976170174,0.6121392023829828,52.79774929665517,-0.14100000000000013,
2011-02-21,0.8796,0.8313,0.865,1700.12,1435.86,0.8345,,-0.08851422550052679,-0.035260115606936426,0,0.8407045755643445,0.9509931341851937,0.11028855862084919,47.75926643419863,0.11508066020742298,40970.89000000001,0.1307571428571429,1.194922959515715,0.6797770404842851,26.53954360737729,-0.11529999999999996,
2011-02-22,0.95,0.8313,0.8345,12095.26,10650.29,0.8702,,-0.035260115606936426,0.04278010784901132,1,0.8402449773743931,0.9330711135413178,0.0928261361669247,46.509872971953214,0.8328842341988819,30320.600000000006,0.13521428571428576,1.1830612281000061,0.704318771899994,17.00531416067521,-0.23550000000000004,
2011-02-23,0.945,0.8681,0.8702,6718.87,6057.77,0.9,,0.04278010784901132,0.03424500114916107,1,0.8424638679392528,0.9233986345349612,0.08093476659570842,47.02291978076731,0.616234902445509,36378.37000000001,0.1238214285714286,1.1688190424042935,0.7339809575957069,28.1650515786183,-0.2098000000000001,
2011-02-24,1.0,0.9,0.9,13418.69,12708.12,0.9974,,0.03424500114916107,0.10822222222222222,1,0.8467258036474562,0.9197988446065055,0.07307304095904932,35.61913412049651,1.4260083604633473,49086.49000000001,0.11166428571428574,1.1451594690963127,0.7780005309036871,38.68989996773152,-0.15000000000000002,
